InteractionID	PeakID.1.	chr.1.	start.1.	end.1.	strand.1.	Total.Reads.1.	PeakID.2.	chr.2.	start.2.	end.2.	strand.2.	Total.Reads.2.	Distance	Interaction.Reads	Expected.Reads	Z.score	LogP	FDR.Benjamini..based.on.3.68e.08.total.tests.	Circos.Thickness
interaction66	chr15-97600000	chr15	97600000	97700000	+	7144	chr15-97500000	chr15	97500000	97600000	+	8598	80527	344	59.663139	4.887464	-327.743528	0	30
interaction94	chr15-74800000	chr15	74800000	74900000	+	8002	chr15-74700000	chr15	74700000	74800000	+	11112	93528	373	79.843617	4.3037	-290.944643	0	26
interaction103	chr14-55000000	chr14	55000000	55100000	+	7617	chr14-54800000	chr14	54800000	54900000	+	11577	198082	258	37.472497	3.648479	-284.012363	0	26
interaction118	chr15-80400000	chr15	80400000	80500000	+	9403	chr15-80300000	chr15	80300000	80400000	+	11387	80980	397	94.908842	3.996785	-274.607069	0	24
interaction122	chr14-55100000	chr14	55100000	55200000	+	6775	chr14-54800000	chr14	54800000	54900000	+	11577	298783	213	25.455538	3.558349	-271.035214	0	24
interaction183	chr15-66600000	chr15	66600000	66700000	+	13003	chr15-66500000	chr15	66500000	66600000	+	12003	103635	441	130.309843	3.406967	-234.654075	0	20
interaction188	chr15-59100000	chr15	59100000	59200000	+	13566	chr15-58800000	chr15	58800000	58900000	+	11010	305729	250	44.252318	2.908338	-232.561741	0	20
interaction193	chr15-58900000	chr15	58900000	59000000	+	8725	chr15-58800000	chr15	58800000	58900000	+	11010	82293	338	81.985091	3.954445	-230.138451	0	20
interaction200	chr15-80500000	chr15	80500000	80600000	+	14857	chr15-80100000	chr15	80100000	80200000	+	10336	398872	226	36.448672	2.850415	-228.017244	0	20
interaction203	chr15-59100000	chr15	59100000	59200000	+	13566	chr15-58700000	chr15	58700000	58800000	+	10944	381553	218	33.751099	2.913063	-227.42815	0	20
interaction228	chr14-55200000	chr14	55200000	55300000	+	11028	chr14-54800000	chr14	54800000	54900000	+	11577	401786	206	31.136907	2.949076	-219.181757	0	20
interaction272	chr15-77700000	chr15	77700000	77800000	+	9868	chr15-77600000	chr15	77600000	77700000	+	10854	94860	348	95.873503	3.600147	-203.302756	0	18
interaction279	chr15-80400000	chr15	80400000	80500000	+	9403	chr15-80100000	chr15	80100000	80200000	+	10336	312266	196	30.857178	3.098989	-202.055799	0	18
interaction287	chr15-59000000	chr15	59000000	59100000	+	10818	chr15-58800000	chr15	58800000	58900000	+	11010	211548	238	46.975503	3.070442	-200.298923	0	18
interaction325	chr14-54900000	chr14	54900000	55000000	+	9925	chr14-54800000	chr14	54800000	54900000	+	11577	85162	354	103.339413	3.438978	-191.940498	0	16
interaction340	chr15-74900000	chr15	74900000	75000000	+	7806	chr15-74700000	chr15	74700000	74800000	+	11112	195811	203	36.433003	3.246215	-187.301658	0	16
interaction348	chr15-80500000	chr15	80500000	80600000	+	14857	chr15-80000000	chr15	80000000	80100000	+	11786	490312	195	33.746572	2.636284	-185.273122	0	16
interaction349	chr14-7800000	chr14	7800000	7900000	+	9802	chr14-4200000	chr14	4200000	4300000	+	10786	3574217	94	5.308088	3.221119	-185.002443	0	16
interaction359	chr14-55000000	chr14	55000000	55100000	+	7617	chr14-54900000	chr14	54900000	55000000	+	9925	89057	276	69.037654	3.866041	-181.801802	0	16
interaction393	chr14-20400000	chr14	20400000	20500000	+	15568	chr14-7700000	chr14	7700000	7800000	+	8831	12673294	79	3.511781	3.311388	-173.843857	0	16
interaction424	chr14-55200000	chr14	55200000	55300000	+	11028	chr14-55000000	chr14	55000000	55100000	+	7617	192139	190	35.549	3.166727	-168.923566	0	14
interaction429	chr15-96100000	chr15	96100000	96200000	+	12735	chr15-95500000	chr15	95500000	95600000	+	10897	587892	158	23.94329	2.738372	-168.187036	0	14
interaction433	chr15-86000000	chr15	86000000	86100000	+	10427	chr15-85900000	chr15	85900000	86000000	+	9877	69145	315	93.425419	3.393591	-167.246336	0	14
interaction436	chr15-94000000	chr15	94000000	94100000	+	12738	chr15-93200000	chr15	93200000	93300000	+	12050	798000	147	20.602897	2.693232	-166.384965	0	14
interaction449	chr15-85900000	chr15	85900000	86000000	+	9877	chr15-85700000	chr15	85700000	85800000	+	7744	205207	181	33.064317	3.210514	-164.511077	0	14
interaction464	chr15-96100000	chr15	96100000	96200000	+	12735	chr15-95600000	chr15	95600000	95700000	+	10875	503887	167	28.21759	2.668821	-162.332943	0	14
interaction480	chr14-55100000	chr14	55100000	55200000	+	6775	chr14-54900000	chr14	54900000	55000000	+	9925	192491	167	28.757168	3.319066	-160.236874	0	14
interaction484	chr15-57700000	chr15	57700000	57800000	+	13267	chr15-57500000	chr15	57500000	57600000	+	11665	194572	241	59.772001	2.640254	-159.584127	0	14
interaction487	chr15-63500000	chr15	63500000	63600000	+	11422	chr15-60900000	chr15	60900000	61000000	+	12466	2591273	92	6.69541	3.040572	-159.191273	0	14
interaction519	chr15-79300000	chr15	79300000	79400000	+	10674	chr15-79000000	chr15	79000000	79100000	+	8832	285805	169	30.488936	2.869343	-155.283748	0	14
interaction525	chr15-81000000	chr15	81000000	81100000	+	12375	chr15-80800000	chr15	80800000	80900000	+	10795	184488	226	54.41964	2.695174	-154.928883	0	14
interaction529	chr15-81700000	chr15	81700000	81800000	+	10502	chr15-81600000	chr15	81600000	81700000	+	7246	76396	257	69.4557	3.649863	-154.555519	0	14
interaction530	chr14-55200000	chr14	55200000	55300000	+	11028	chr14-54900000	chr14	54900000	55000000	+	9925	292892	180	34.917628	2.749954	-154.476929	0	14
interaction538	chr15-96500000	chr15	96500000	96600000	+	12206	chr15-96300000	chr15	96300000	96400000	+	10321	186182	224	53.927434	2.695428	-153.667183	0	14
interaction549	chr15-59600000	chr15	59600000	59700000	+	12934	chr15-59200000	chr15	59200000	59300000	+	12661	404153	184	36.923995	2.507906	-152.601874	0	14
interaction563	chr14-55100000	chr14	55100000	55200000	+	6775	chr14-55000000	chr14	55000000	55100000	+	7617	83108	208	47.746146	4.099292	-151.091894	0	12
interaction575	chr14-55200000	chr14	55200000	55300000	+	11028	chr14-55100000	chr14	55100000	55200000	+	6775	91079	250	67.800523	3.639735	-149.877545	0	12
interaction583	chr15-94000000	chr15	94000000	94100000	+	12738	chr15-93300000	chr15	93300000	93400000	+	12582	696571	149	24.295892	2.557027	-149.390323	0	12
interaction587	chr14-79700000	chr14	79700000	79800000	+	9956	chr14-79500000	chr14	79500000	79600000	+	9888	204775	188	39.668404	2.94083	-148.594639	0	12
interaction610	chr15-80400000	chr15	80400000	80500000	+	9403	chr15-80000000	chr15	80000000	80100000	+	11786	397403	154	26.798418	2.724889	-146.194065	0	12
interaction627	chr15-81800000	chr15	81800000	81900000	+	10877	chr15-81700000	chr15	81700000	81800000	+	10502	75770	313	102.345117	3.121684	-144.774243	0	12
interaction643	chr14-52600000	chr14	52600000	52700000	+	7086	chr14-52500000	chr14	52500000	52600000	+	10370	81532	244	67.41327	3.587759	-142.855828	0	12
interaction650	chr15-81400000	chr15	81400000	81500000	+	9355	chr15-81200000	chr15	81200000	81300000	+	11737	191544	198	45.778819	2.769799	-142.287086	0	12
interaction667	chr15-5800000	chr15	5800000	5900000	+	14585	chr15-5100000	chr15	5100000	5200000	+	13854	693347	161	30.596092	2.344686	-140.8063	0	12
interaction716	chr15-80500000	chr15	80500000	80600000	+	14857	chr15-79900000	chr15	79900000	80000000	+	12264	592438	156	29.790923	2.405573	-135.956257	0	12
interaction743	chr15-80500000	chr15	80500000	80600000	+	14857	chr15-80300000	chr15	80300000	80400000	+	11387	188960	239	68.238276	2.374413	-133.428345	0	12
interaction754	chr15-74700000	chr15	74700000	74800000	+	11112	chr15-74500000	chr15	74500000	74600000	+	10942	204205	201	50.185459	2.625318	-132.419162	0	12
interaction761	chr14-54000000	chr14	54000000	54100000	+	4845	chr14-53300000	chr14	53300000	53400000	+	8358	702882	81	6.631947	3.46705	-131.938917	0	12
interaction764	chr15-96100000	chr15	96100000	96200000	+	12735	chr15-95900000	chr15	95900000	96000000	+	13534	191776	245	71.922355	2.322168	-131.720668	0	12
interaction770	chr15-6000000	chr15	6000000	6100000	+	14617	chr15-5100000	chr15	5100000	5200000	+	13854	885700	139	24.287097	2.347613	-131.446913	0	12
interaction772	chr15-79400000	chr15	79400000	79500000	+	11696	chr15-79000000	chr15	79000000	79100000	+	8832	392970	142	25.511588	2.673695	-131.252043	0	12
interaction776	chr15-85800000	chr15	85800000	85900000	+	8429	chr15-85700000	chr15	85700000	85800000	+	7744	98747	222	60.945587	3.603979	-130.919369	0	12
interaction779	chr15-80700000	chr15	80700000	80800000	+	12931	chr15-80500000	chr15	80500000	80600000	+	14857	190622	253	76.52029	2.266078	-130.607426	0	12
interaction790	chr14-26300000	chr14	26300000	26400000	+	9335	chr14-25900000	chr14	25900000	26000000	+	11392	405417	145	26.909472	2.624157	-130.078325	0	12
interaction798	chr14-56300000	chr14	56300000	56400000	+	8992	chr14-56200000	chr14	56200000	56300000	+	13576	83816	305	105.615019	2.961622	-129.676057	0	10
interaction816	chr15-59400000	chr15	59400000	59500000	+	14076	chr15-59300000	chr15	59300000	59400000	+	13320	79223	385	152.989902	2.57926	-128.740514	0	10
interaction842	chr14-73700000	chr14	73700000	73800000	+	11541	chr14-73500000	chr14	73500000	73600000	+	11035	214314	198	50.606736	2.58104	-126.974319	0	10
interaction859	chr15-78600000	chr15	78600000	78700000	+	8405	chr15-78400000	chr15	78400000	78500000	+	10779	214841	170	38.171533	2.82216	-126.375501	0	10
interaction909	chr15-79200000	chr15	79200000	79300000	+	7569	chr15-79100000	chr15	79100000	79200000	+	6766	92636	189	47.841632	3.82614	-123.236524	0	10
interaction937	chr15-80600000	chr15	80600000	80700000	+	12837	chr15-80500000	chr15	80500000	80600000	+	14857	89728	393	162.371424	2.470628	-122.2375	0	10
interaction945	chr15-8500000	chr15	8500000	8600000	+	10078	chr15-8300000	chr15	8300000	8400000	+	11754	198932	193	50.087531	2.551936	-121.699899	0	10
interaction952	chr15-63400000	chr15	63400000	63500000	+	12956	chr15-61800000	chr15	61800000	61900000	+	12901	1609862	95	11.394643	2.610959	-121.203826	0	10
